gene_id,01B_13_1.fq.gz,01B_33_1.fq.gz,043_14_1.fq.gz,043_33_1.fq.gz,043_3_1.fq.gz,250_14_1.fq.gz,250_34_1.fq.gz,250_4_1.fq.gz
ENSG00000278757.1|U6,0,0,1,1,0,0,0,0
ENSG00000230021.10|ENSG00000230021,97,157,296,100,75,25,58,18
ENSG00000235146.2|ENSG00000235146,0,0,0,0,0,0,0,0
ENSG00000268663.1|WBP1LP6,0,0,0,0,0,0,0,0
ENSG00000223181.1|RNU6-1199P,0,0,0,0,0,0,0,0
ENSG00000229905.1|ENSG00000229905,0,0,0,0,0,0,0,0
ENSG00000228327.4|ENSG00000228327,567,753,3095,1181,751,213,265,103
ENSG00000237491.10|LINC01409,101,99,138,168,60,153,231,138
ENSG00000285268.1|ENSG00000285268,0,1,1,1,0,0,3,0
ENSG00000177757.2|FAM87B,0,0,13,10,0,14,11,9
ENSG00000228794.11|LINC01128,5814,7527,7574,8521,3102,6503,8464,2823
ENSG00000288531.1|ENSG00000288531,18,69,28,36,20,0,18,0
ENSG00000230368.2|FAM41C,3,0,6,9,0,2,0,0
ENSG00000234711.1|TUBB8P11,0,0,2,0,0,4,1,0
ENSG00000283040.1|ENSG00000283040,0,0,0,0,0,0,0,0
ENSG00000223764.2|LINC02593,151,314,258,310,1086,120,174,206
ENSG00000187634.13|SAMD11,57,163,566,370,3414,113,105,1169
ENSG00000187583.11|PLEKHN1,3,5,12,0,6,0,0,0
ENSG00000187642.9|PERM1,0,4,4,0,0,10,12,11
ENSG00000231702.2|ENSG00000231702,0,0,6,0,0,0,0,0
ENSG00000224969.1|ENSG00000224969,0,2,4,0,6,0,0,3
ENSG00000217801.11|ENSG00000217801,144,229,181,220,98,77,117,75
ENSG00000273443.1|ENSG00000273443,0,0,0,0,0,0,0,0
ENSG00000237330.3|RNF223,0,0,5,3,0,8,2,0
ENSG00000131591.18|C1orf159,3421,2237,3314,2257,4100,2440,2013,4084
ENSG00000285812.1|ENSG00000285812,0,0,4,0,0,0,0,0
ENSG00000223823.1|LINC01342,0,0,0,0,0,0,0,0
ENSG00000207730.3|MIR200B,0,0,0,0,0,0,0,0
ENSG00000207607.3|MIR200A,0,0,0,0,0,0,0,0
ENSG00000198976.1|MIR429,0,0,0,0,0,0,0,0
ENSG00000272141.1|ENSG00000272141,0,0,0,0,0,0,0,0
ENSG00000205231.1|TTLL10-AS1,0,0,0,0,21,0,0,0
ENSG00000162571.14|TTLL10,0,0,58,0,376,3,25,65
ENSG00000186891.14|TNFRSF18,0,0,3,7,11,0,5,38
ENSG00000186827.11|TNFRSF4,0,0,0,3,0,0,0,0
ENSG00000078808.19|SDF4,15066,15925,15626,17247,24537,15591,15570,20119
ENSG00000160087.21|UBE2J2,10282,10678,9760,10589,15467,10595,10161,14035
ENSG00000162572.21|SCNN1D,355,283,937,334,304,250,244,214
ENSG00000278073.1|MIR6726,0,2,2,1,1,2,3,0
ENSG00000131584.19|ACAP3,14743,15562,18092,16938,7875,16067,17117,9015
ENSG00000127054.22|INTS11,13879,12305,13726,13752,15844,14958,12175,18603
ENSG00000162576.17|MXRA8,1042,945,638,1343,3396,2057,1697,5608
ENSG00000223663.2|NDUFB4P8,0,0,1,3,0,0,1,0
