evaluation,outer_fold,branch,train_n,test_n,feature_count,public_fusion_alpha,best_parameters
integrated_public_assays_late_fusion,5,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 5}"
integrated_public_assays_late_fusion,5,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
no_public_assay_transfer,1,growth_proliferation,48,12,57,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,1,progenitor_organization,48,12,102,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 1.0, ""select__percentile"": 100}"
no_public_assay_transfer,1,excitatory_inhibitory_balance,48,12,36,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 50}"
no_public_assay_transfer,1,synaptic_integrity,48,12,69,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 50}"
no_public_assay_transfer,1,electrophysiology,48,12,54,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,1,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 1}"
no_public_assay_transfer,1,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
no_public_assay_transfer,2,growth_proliferation,48,12,57,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,2,progenitor_organization,48,12,102,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,2,excitatory_inhibitory_balance,48,12,36,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,2,synaptic_integrity,48,12,69,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,2,electrophysiology,48,12,54,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,2,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 2}"
no_public_assay_transfer,2,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
no_public_assay_transfer,3,growth_proliferation,48,12,57,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,3,progenitor_organization,48,12,102,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,3,excitatory_inhibitory_balance,48,12,36,0.0,"{""classifier__C"": 0.01, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,3,synaptic_integrity,48,12,69,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 1.0, ""select__percentile"": 100}"
no_public_assay_transfer,3,electrophysiology,48,12,54,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,3,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 2}"
no_public_assay_transfer,3,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
no_public_assay_transfer,4,growth_proliferation,48,12,57,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,4,progenitor_organization,48,12,102,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,4,excitatory_inhibitory_balance,48,12,36,0.0,"{""classifier__C"": 0.01, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,4,synaptic_integrity,48,12,69,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,4,electrophysiology,48,12,54,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,4,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 2}"
no_public_assay_transfer,4,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
no_public_assay_transfer,5,growth_proliferation,48,12,57,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,5,progenitor_organization,48,12,102,0.0,"{""classifier__C"": 0.01, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,5,excitatory_inhibitory_balance,48,12,36,0.0,"{""classifier__C"": 0.01, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 25}"
no_public_assay_transfer,5,synaptic_integrity,48,12,69,0.0,"{""classifier__C"": 0.1, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,5,electrophysiology,48,12,54,0.0,"{""classifier__C"": 0.01, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 100}"
no_public_assay_transfer,5,transcriptomic_risk,48,12,6201,0.0,"{""classifier__C"": 1.0, ""classifier__l1_ratio"": 0.0, ""select__percentile"": 5}"
no_public_assay_transfer,5,__combiner__,48,12,6,,"{""C"": 0.5, ""selection"": ""pre-specified""}"
