baseline,feature_count,n,roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,mcc,tn,fp,fn,tp,conditional_oof_roc_auc_ci_low,conditional_oof_roc_auc_ci_high,conditional_oof_accuracy_ci_low,conditional_oof_accuracy_ci_high
chemical_context_only,12,60,0.6832579185520362,0.7805411807430203,0.55,0.5531674208144797,0.5294117647058824,0.5769230769230769,0.6206896551724138,0.5714285714285714,0.21854247770716353,0.10544400067439902,15,11,16,18,0.5418269230769232,0.8099547511312217,0.4166666666666667,0.6833333333333333
pubchem_descriptors_only,8,60,0.578054298642534,0.6633976303586522,0.5666666666666667,0.5678733031674208,0.5588235294117647,0.5769230769230769,0.6333333333333333,0.59375,0.24625924493387577,0.1345345587992625,15,11,15,19,0.4298642533936652,0.7194570135746606,0.45,0.7
dose_only,4,60,0.6968325791855203,0.8194619703227717,0.6666666666666666,0.6923076923076923,0.5,0.8846153846153846,0.85,0.6296296296296297,0.220747426382833,0.40430377003132,23,3,17,17,0.5610718325791856,0.8269230769230769,0.55,0.7666666666666667
