gene,variance_2d_tpm,present_in_v3_candidate_features,selected_top_250
CPE,79101.27204165819,False,False
RPL36A,78432.39230662702,False,False
HNRNPA2B1,77676.27981185913,True,True
FXYD6,77209.23731175503,False,False
LDHB,77047.45042550268,False,False
RPS27A,76255.37657530559,False,False
ROBO3,75858.89686477641,False,False
TAGLN,74497.67218034004,True,True
FABP7,73793.12594620953,True,True
ZFAND2A,72785.08950263128,False,False
MARCKS,72634.92306593267,False,False
RPL23A,72518.24792300536,False,False
CALM2,70656.22031976464,False,False
ABCC9,70403.92198631728,False,False
MLLT11,68914.93312216316,False,False
LYPD1,68769.36790100537,True,True
GDI1,68301.98137781346,False,False
TIMP2,66317.80626392018,False,False
USP33,65442.65234273083,False,False
CDKN1A,64966.457767870306,True,True
CD24,62752.583207624775,False,False
RPL14,61891.400032687074,False,False
IFITM3,61653.64177240002,True,True
SLC25A6,60813.95518010784,False,False
RPL10,60573.623931548354,False,False
COL6A2,60511.492825392146,True,True
EIF4G2,59460.16915472797,True,True
CALM3,58093.123512074955,False,False
CFLAR,56794.696195569115,False,False
C1orf61,56676.72307992946,True,True
NACA,56200.66395375946,False,False
STMN4,56166.59455529646,True,True
YBX1,55214.99695366295,False,False
ID2,54953.4774344083,True,True
COL6A1,54224.88293627224,True,True
HMGB1,53515.96903426151,False,False
IGFBP5,52533.395597174575,True,True
MT1H,52295.00980069481,False,False
APLP1,49122.09802840767,True,True
LGALS1,49061.23988833035,True,True
SEPT5,48697.209627935685,True,True
SOX4,48240.55578322454,True,True
REXO1L1,47646.52293055177,False,False
RPL34,47640.63797405809,False,False
HMGB2,46639.97558439602,False,False
TTYH1,45711.44604221789,False,False
CD63,45600.933420028436,True,True
CTSC,45583.86808615645,False,False
BLCAP,45410.869311411145,False,False
NDUFA13,45380.295469712604,False,False
MCFD2,45188.96249951516,False,False
CYP26A1,45018.8850905569,True,True
LDHA,44950.75744955375,True,True
GSTP1,44801.77317704085,False,False
BNIP3,43744.535138372456,False,False
GNG2,43678.803240109475,False,False
PPP1R15A,43567.85276310781,True,True
DBI,43143.652196837684,True,True
C4orf48,42742.344294574286,True,True
PRDX2,42659.44621111696,False,False
TAGLN2,41512.791089600076,True,True
HMGA1,41177.08757866032,False,False
SBK1,40569.916576253054,False,False
LY6H,40157.68251055901,False,False
HNRNPH1,39998.24670931677,False,False
MAPT,39130.45426440444,True,True
SLC1A3,38448.790517580215,False,False
HNRNPK,37710.73114110725,False,False
NONO,36699.357066109886,False,False
MTRNR2L1,36203.91259378473,False,False
HN1,36030.28148846136,True,True
ATP1A3,35516.798188726294,True,True
ATP6V0C,34634.19725060006,True,True
ETFB,33377.781412460376,True,True
NCAM1,32935.526783174835,False,False
YWHAZ,32918.02512103496,False,False
MDK,32913.3225933724,False,False
YWHAG,32659.49121821771,True,True
FADS2,32485.8183108374,False,False
RTN3,32469.98203535402,False,False
RTN4,31892.436242493946,False,False
CALM1,31784.465881458866,False,False
FAU,31605.8756273134,False,False
EIF4A1,31367.187869862904,False,False
IGFBPL1,31140.630091914358,False,False
GPM6B,30928.20910605619,False,False
RPL37,30915.071478245078,False,False
YWHAE,30912.204762576173,False,False
CCNI,30887.175531751884,True,True
ANXA5,30840.519522628703,False,False
ATF4,30423.375369655867,True,True
COX7C,30213.851268683837,False,False
TMEM66,30090.13313816191,True,True
YWHAQ,30047.184624131776,False,False
XAF1,30032.046897383352,False,False
EEF1A2,30001.115917870306,True,True
SEPW1,29770.98785968815,False,False
PRDX1,29754.621781637834,True,True
GPM6A,29342.88687114433,True,True
POSTN,29028.653795195405,False,False
RPL32,28418.405311123395,False,False
EIF1,28417.58618975799,True,True
HNRNPD,28383.90026667836,False,False
OAZ1,28336.249514702715,True,True
SDC3,28066.147939193597,False,False
SLC3A2,28056.49788586167,True,True
SFPQ,27603.301197379835,False,False
KPNA2,27221.224875933727,False,False
SPC25,26827.86703701443,False,False
TNC,26699.49056307506,True,True
COL4A1,26695.514983032714,False,False
PCNA,26640.295191637135,True,True
EBF3,26561.516241524838,False,False
YWHAH,26482.10437319718,False,False
FEZ1,26361.880816820485,False,False
GNB1,26176.828997913224,False,False
S100A11,25916.266132039633,True,True
SPINLW1,25695.062404747296,False,False
NTRK2,25446.31781366226,True,True
VAMP2,25258.081819382154,True,True
PPIA,24930.57914476202,False,False
HOXB5,24835.076759900458,False,False
RND3,24734.355997990435,False,False
PBX3,24678.652851084324,False,False
NCL,24619.221797132446,False,False
MAP2,24587.343451610697,False,False
THRA,24385.270554168277,False,False
VSTM2L,24263.059044362562,True,True
PTGDS,24215.2298937549,True,True
RRAD,24147.438082787667,False,False
RBMX,23996.13790523213,False,False
PCP4L1,23877.442986892776,False,False
EDF1,23855.621239330456,False,False
TIGD1,23842.79995925476,False,False
DHRS3,23813.483562876205,True,True
NAP1L1,23733.21352974465,False,False
RPL28,23716.46115077903,False,False
GPC1,23646.428668192555,False,False
CD99,23226.766510119778,False,False
PODXL2,22859.65055871144,False,False
FDPS,22821.460612011204,False,False
TUBA1C,22620.848038506974,True,True
HNRNPM,22451.90127477103,True,True
TMSB15A,22372.78660252658,False,False
FHL1,22365.03036812822,False,False
PKIA,22300.327938961997,False,False
MAP1B,22275.853174373908,False,False
H1FX,22000.540340945834,True,True
SLC1A6,21995.315506240422,False,False
GPR56,21881.00846944181,True,True
NME2,21630.94700865354,True,True
CNTN2,21497.14650548069,True,True
PLD3,21476.88391751237,True,True
PRDX5,21431.508203778758,False,False
GABARAP,21271.618197904463,False,False
ATP5G2,21191.20498668924,False,False
TYMS,21073.350388142026,True,True
ATP5I,20833.04332723211,False,False
TCEB2,20724.801806494837,False,False
NEFM,20646.75792938672,True,True
SRSF2,20645.91078394685,True,True
METRN,20645.76341498169,False,False
MCM7,20502.90078817887,False,False
HNRNPC,20359.408756274348,False,False
COL4A2,20353.718790810726,False,False
GPC2,20253.273780009593,False,False
BCAN,20161.87628236423,True,True
TPM1,20061.963613059266,True,True
HES4,20045.844908648276,False,False
CST3,19963.781068634707,False,False
DIO3,19949.231114092127,False,False
ATAT1,19838.025760885357,False,False
OLFM1,19819.094419282144,True,True
PDZD4,19755.1592711841,False,False
BSCL2,19534.782686409093,True,True
SRP9,19364.764282624485,False,False
PPIB,19212.698059858933,False,False
SNRPB,18886.64169672597,True,True
DBN1,18874.628157806088,False,False
CNN3,18708.81168146647,False,False
RGMB,18704.490240029943,False,False
CALR,18634.73835414254,False,False
DNAJA1,18615.470097535996,False,False
SERPINH1,18407.290090751074,False,False
THBS2,18342.168834918877,False,False
LHX1,18257.550451896106,False,False
SPTAN1,18196.986044367826,True,True
KLC1,18172.43015450574,False,False
NDRG4,18024.090437688177,False,False
C12orf57,18013.981699468364,True,True
NGFRAP1,17937.148812338142,False,False
PAFAH1B3,17805.07481604672,True,True
COTL1,17799.175807112446,True,True
RAB3A,17700.310629935902,False,False
FAM195B,17536.84440954311,False,False
COX6A1,17514.51703452995,False,False
CD81,17509.545646163926,False,False
MTRNR2L10,17501.602832048404,False,False
GTF2I,17415.927409501,False,False
PABPC1,17325.159601139887,False,False
STIP1,17238.531449841503,False,False
CA8,16982.892907111273,True,True
TOP2A,16860.84814233077,False,False
PPP2R1A,16795.508492957153,False,False
TEX101,16751.61500884772,False,False
HLA-C,16729.606997913226,False,False
FGFR3,16685.240530292078,True,True
AES,16633.8872062141,False,False
SERPINE1,16435.637924776296,True,True
SQSTM1,16429.000466502905,True,True
CHRM3,16424.46519797873,False,False
CTGF,16410.76626730299,True,True
TCF12,16406.748946111285,False,False
THAP4,16360.475417964468,False,False
DCX,16329.613155998291,False,False
DKK3,16215.886714000888,True,True
RANBP1,16194.386721991787,False,False
DDR1,16141.268648573534,False,False
FDFT1,16044.829533935152,True,True
NGRN,15899.941858528386,False,False
HLA-A,15861.176369087387,True,True
MAGED1,15799.949827305796,False,False
MLLT4,15769.948960784764,False,False
H2AFX,15740.871078763847,True,True
CDC42,15626.286835377408,False,False
LMNB1,15596.63890927934,False,False
SERINC1,15556.11539504977,False,False
DDX5,15507.32606218491,False,False
BEX1,15336.529769059314,True,True
H1F0,15261.933703589852,True,True
BTF3,15144.446174734185,False,False
CCDC72,15139.555102210172,False,False
WSB2,15061.084013922518,False,False
PEBP1,15052.7072768268,False,False
PHGDH,14954.9340533717,True,True
HOXB6,14901.087358124834,False,False
MVD,14820.156958847714,True,True
ENHO,14775.638899199332,True,True
ILF3,14727.732023647519,False,False
EEF1B2,14709.657859884666,False,False
OLFM2,14654.309787713912,False,False
KIF1A,14592.579591954709,True,True
CDK5R1,14497.323742962417,False,False
SET,14478.231117118761,False,False
TTYH3,14462.887784166754,False,False
TMEM59L,14432.243107024715,True,True
APLP2,14386.917034673243,False,False
HSPE1,14292.282660298744,False,False
SNRPD2,14260.32410682996,False,False
UBE2S,14249.602746460445,False,False
