casn,chemical,dsstox_substance_id,pubchem_query,match_status,source_url,error,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,XLogP,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
59-05-2,Methotrexate,DTXSID4020822,59-05-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/59-05-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,126941.0,C20H22N8O5,454.4,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-1.8,211.0,704.0,0.0,5.0,12.0,9.0
60-51-5,Dimethoate,DTXSID7020479,60-51-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/60-51-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3082.0,C5H12NO3PS2,229.3,CNC(=O)CSP(=S)(OC)OC,CNC(=O)CSP(=S)(OC)OC,0.8,105.0,191.0,0.0,1.0,5.0,5.0
60-57-1,Dieldrin,DTXSID9020453,60-57-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/60-57-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,969491.0,C12H8Cl6O,380.9,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,3.7,12.5,516.0,0.0,0.0,1.0,0.0
6055-19-2,Cyclophosphamide monohydrate,DTXSID6024888,6055-19-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/6055-19-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,22420.0,C7H17Cl2N2O3P,279.10,C1CNP(=O)(OC1)N(CCCl)CCCl.O,C1CNP(=O)(OC1)N(CCCl)CCCl.O,,42.6,212.0,0.0,2.0,5.0,5.0
6080-56-4,Lead(II) acetate trihydrate,DTXSID3031521,6080-56-4,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/6080-56-4/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,22456.0,C4H12O7Pb,379,CC(=O)[O-].CC(=O)[O-].O.O.O.[Pb+2],CC(=O)[O-].CC(=O)[O-].O.O.O.[Pb+2],,83.3,25.0,0.0,3.0,7.0,0.0
62-73-7,Dichlorvos,DTXSID5020449,62-73-7,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/62-73-7/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3039.0,C4H7Cl2O4P,220.97,COP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC)OC=C(Cl)Cl,1.4,44.8,181.0,0.0,0.0,4.0,4.0
62571-86-2,Captopril,DTXSID1037197,62571-86-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/62571-86-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,44093.0,C9H15NO3S,217.29,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CC(CS)C(=O)N1CCCC1C(=O)O,0.3,58.6,244.0,0.0,2.0,4.0,3.0
64-86-8,Colchicine,DTXSID5024845,64-86-8,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/64-86-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,6167.0,C22H25NO6,399.4,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,1.0,83.1,740.0,0.0,1.0,6.0,5.0
69-09-0,Chlorpromazine hydrochloride,DTXSID7024827,69-09-0,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/69-09-0/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,6240.0,C17H20Cl2N2S,355.3,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,,31.8,339.0,0.0,1.0,3.0,4.0
70-30-4,Hexachlorophene,DTXSID6020690,70-30-4,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/70-30-4/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3598.0,C13H6Cl6O2,406.9,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,7.5,40.5,328.0,0.0,2.0,2.0,2.0
732-11-6,Phosmet,DTXSID5024261,732-11-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/732-11-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,12901.0,C11H12NO4PS2,317.3,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,2.8,113.0,399.0,0.0,0.0,6.0,5.0
741-58-2,Bensulide,DTXSID9032329,741-58-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/741-58-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,12932.0,C14H24NO4PS3,397.5,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,4.2,130.0,471.0,0.0,1.0,7.0,10.0
76-44-8,Heptachlor,DTXSID3020679,76-44-8,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/76-44-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3589.0,C10H5Cl7,373.3,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,4.3,0.0,467.0,0.0,0.0,0.0,0.0
7681-49-4,Sodium fluoride,DTXSID2020630,7681-49-4,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7681-49-4/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,5235.0,FNa,41.9881724,[F-].[Na+],[F-].[Na+],,0.0,2.0,0.0,0.0,1.0,0.0
7773-01-5,Manganese dichloride,DTXSID9040681,7773-01-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7773-01-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,10313134.0,Cl2Mn,125.84,[Cl-].[Cl-].[Mn+2],[Cl-].[Cl-].[Mn+2],,0.0,0.0,0.0,0.0,2.0,0.0
7784-46-5,Sodium arsenite,DTXSID5020104,7784-46-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7784-46-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,443495.0,AsNaO2,129.910,[O-][As]=O.[Na+],[O-][As]=O.[Na+],,40.1,13.0,0.0,0.0,2.0,0.0
7790-78-5,Cadmium(II) chloride hydrate (2:5),DTXSID4040183,7790-78-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7790-78-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,24978551.0,Cd2Cl4H10O5,456.7,O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Cl-].[Cd+2].[Cd+2],O.O.O.O.O.[Cl-].[Cl-].[Cl-].[Cl-].[Cd+2].[Cd+2],,5.0,0.0,0.0,5.0,9.0,0.0
78-48-8,Tribufos,DTXSID1024174,78-48-8,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/78-48-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,5125.0,C12H27OPS3,314.5,CCCCSP(=O)(SCCCC)SCCCC,CCCCSP(=O)(SCCCC)SCCCC,3.2,93.0,179.0,0.0,0.0,4.0,12.0
79-06-1,Acrylamide,DTXSID5020027,79-06-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/79-06-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,6579.0,C3H5NO,71.08,C=CC(=O)N,C=CC(=O)N,-0.7,43.1,57.0,0.0,1.0,1.0,1.0
80-05-7,Bisphenol A,DTXSID7020182,80-05-7,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/80-05-7/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,6623.0,C15H16O2,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,3.3,40.5,209.0,0.0,2.0,2.0,2.0
82385-42-0,Sodium saccharin hydrate,DTXSID7021992,82385-42-0,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/82385-42-0/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,443755.0,C7H6NNaO4S,223.18,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.O.[Na+],C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.O.[Na+],,61.6,308.0,0.0,1.0,5.0,0.0
86386-73-4,Fluconazole,DTXSID3020627,86386-73-4,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/86386-73-4/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3365.0,C13H12F2N6O,306.27,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,0.4,81.7,358.0,0.0,1.0,7.0,5.0
96182-53-5,Tebupirimfos,DTXSID1032482,96182-53-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/96182-53-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,93516.0,C13H23N2O3PS,318.37,CCOP(=S)(OC1=CN=C(N=C1)C(C)(C)C)OC(C)C,CCOP(=S)(OC1=CN=C(N=C1)C(C)(C)C)OC(C)C,4.2,85.6,339.0,0.0,0.0,6.0,7.0
962-58-3,Diazoxon,DTXSID5037523,962-58-3,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/962-58-3/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,13754.0,C12H21N2O4P,288.28,CCOP(=O)(OCC)OC1=NC(=NC(=C1)C)C(C)C,CCOP(=O)(OCC)OC1=NC(=NC(=C1)C)C(C)C,2.1,70.5,304.0,0.0,0.0,6.0,7.0
98886-44-3,Fosthiazate,DTXSID0034930,98886-44-3,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/98886-44-3/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,91758.0,C9H18NO3PS2,283.4,CCC(C)SP(=O)(N1CCSC1=O)OCC,CCC(C)SP(=O)(N1CCSC1=O)OCC,2.0,97.2,300.0,0.0,0.0,5.0,6.0
