casn,chemical,dsstox_substance_id,pubchem_query,match_status,source_url,error,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,XLogP,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
302-79-4,all-trans-Retinoic acid,DTXSID7021239,302-79-4,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/302-79-4/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,444795.0,C20H28O2,300.4,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,6.3,37.3,567.0,0.0,1.0,2.0,5.0
30560-19-1,Acephate,DTXSID8023846,30560-19-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/30560-19-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,1982.0,C4H10NO3PS,183.17,CC(=O)NP(=O)(OC)SC,CC(=O)NP(=O)(OC)SC,-0.8,80.7,172.0,0.0,1.0,4.0,3.0
329-89-5,6-aminopyridine-3-carboxamide,DTXSID5051446,329-89-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/329-89-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,9500.0,C6H7N3O,137.14,C1=CC(=NC=C1C(=O)N)N,C1=CC(=NC=C1C(=O)N)N,0.7,82.0,137.0,0.0,2.0,3.0,1.0
333-41-5,Diazinon,DTXSID9020407,333-41-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/333-41-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3017.0,C12H21N2O3PS,304.35,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,3.8,85.6,307.0,0.0,0.0,6.0,7.0
33795-24-3,L-Ketamine hydrochloride,DTXSID90187455,33795-24-3,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/33795-24-3/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,9838417.0,C13H17Cl2NO,274.18,CN[C@]1(CCCCC1=O)C2=CC=CC=C2Cl.Cl,CNC1(CCCCC1=O)C2=CC=CC=C2Cl.Cl,,29.1,269.0,0.0,2.0,2.0,2.0
34552-83-5,"4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride",DTXSID00880006,34552-83-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/34552-83-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,71420.0,C29H34Cl2N2O2,513.5,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,,43.8,623.0,0.0,2.0,3.0,7.0
41198-08-7,Profenofos,DTXSID3032464,41198-08-7,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/41198-08-7/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,38779.0,C11H15BrClO3PS,373.63,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,4.7,60.8,295.0,0.0,0.0,4.0,7.0
438-41-5,Chlordiazepoxide hydrochloride,DTXSID40880060,438-41-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/438-41-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,9916.0,C16H15Cl2N3O,336.2,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl,,48.2,580.0,0.0,2.0,3.0,1.0
439-14-5,Diazepam,DTXSID4020406,439-14-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/439-14-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3016.0,C16H13ClN2O,284.74,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3.0,32.7,403.0,0.0,0.0,2.0,1.0
486-56-6,Cotinine,DTXSID1047576,486-56-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/486-56-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,854019.0,C10H12N2O,176.21,CN1[C@@H](CCC1=O)C2=CN=CC=C2,CN1C(CCC1=O)C2=CN=CC=C2,-0.3,33.2,205.0,0.0,0.0,2.0,1.0
50-02-2,Dexamethasone,DTXSID3020384,50-02-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50-02-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,5743.0,C22H29FO5,392.5,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,1.9,94.8,805.0,0.0,3.0,6.0,2.0
50-35-1,Thalidomide,DTXSID9022524,50-35-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50-35-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,5426.0,C13H10N2O4,258.23,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,0.3,83.6,449.0,0.0,1.0,4.0,1.0
50-36-2,Cocaine,DTXSID2038443,50-36-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50-36-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,446220.0,C17H21NO4,303.35,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,2.3,55.8,432.0,0.0,0.0,5.0,5.0
50-70-4,D-Glucitol,DTXSID5023588,50-70-4,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/50-70-4/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,5780.0,C6H14O6,182.17,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,C(C(C(C(C(CO)O)O)O)O)O,-3.1,121.0,105.0,0.0,6.0,6.0,5.0
51-21-8,5-Fluorouracil,DTXSID2020634,51-21-8,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/51-21-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3385.0,C4H3FN2O2,130.08,C1=C(C(=O)NC(=O)N1)F,C1=C(C(=O)NC(=O)N1)F,-0.9,58.2,199.0,0.0,2.0,3.0,0.0
51-52-5,6-Propyl-2-thiouracil,DTXSID5021209,51-52-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/51-52-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,657298.0,C7H10N2OS,170.23,CCCC1=CC(=O)NC(=S)N1,CCCC1=CC(=O)NC(=S)N1,0.8,73.2,222.0,0.0,2.0,2.0,2.0
